ligand_canonical_id,canonical_smiles,e3_uniprot,neo_uniprot,neo_gene_symbol,moa_type,endpoint_tier,endpoint_category,source_dataset,has_pdb_structure,mutation,is_family_level,label_positive,regime
JGTHKVYFAJYBJB-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(C(C)(C)C)nc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
FZQVGSFAXPGDPY-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(C(C)(C)C)cc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
ABKNXDGYOJUQCK-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(-c3ccccn3)cc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
DTOCQZQOBZWWMU-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cc(F)cc(OC(F)(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
NCWUBBRYMFYRPW-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(C3(C)CC3)cc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
AMCKRIRQIBKIDA-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2ccc3c(c2Cl)C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
YHAOJUVJIQSFRU-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2ccc3c(c2F)C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
YHAOJUVJIQSFRU-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2ccc3c(c2F)C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
FCKPSUYEZVTUOK-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(-c3ccccc3F)nc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
GFWZAFWMYUXYOL-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1OC(F)F,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
KOSCFOJHPFMJAP-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cc(Cl)cc(OC(F)F)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
JWDBNHPXWAZOAO-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cc(F)cc(Cl)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
DPCUXDNHEMYTOX-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4ccc(F)c(Cl)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
URMJJKDXLWZYSQ-UHFFFAOYSA-N,Cc1cc(C)cc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)c1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
JSYRCVGVSCOBPH-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cc(F)c(-c5ccccc5)c(F)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
TWGOBIOTFWTHTH-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4ccc(-c5ccccc5F)c(F)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
IZDDIZJAKIUMCW-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cc(Cl)cc(Cl)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
DMTNLYHIMRKHRE-UHFFFAOYSA-N,Cc1cc(Cl)cc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)c1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
PAVFNWGTDXIUHV-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cccc(OC(F)F)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
XHHBJSVOGFLJIL-UHFFFAOYSA-N,CC(C)(C)c1cccc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)c1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
IXPSPRDJBOEBSY-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cc(-c5ccccc5)ccn4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
KDNWEQBYQFPISU-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cccc(OC(F)(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
XOJODOCRJGRDAC-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cccc(C(C)(C)C)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
FXRUTIHTTXLFRK-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cccc(OC(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
GMAJHEXHSNBPFS-UHFFFAOYSA-N,Cc1cc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cnc1-c1ccccc1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
DOVJSNBYHCTPTO-UHFFFAOYSA-N,Cc1ccccc1-c1ccc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cn1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
