compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets
NGSFYEKSASTMRR-SWDBJUOJSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(N4CC(CN5CCC(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)CC5)C4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)c3ccc(N4CC(CN5CCC(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)CC5)C4)cc3)n[nH]2)C1,defined,mgdb,MG-6300,MG-6300,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
XFXJEXGIVZTTPV-ROGKXOOXSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(N4CCC(CN5CC(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)C5)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)c3ccc(N4CCC(CN5CC(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)C5)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6301,MG-6301,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
KUZBPAQQZSCFEY-OHCRHECWSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(N4CCN(CC5CCN(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)CC5)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)c3ccc(N4CCN(CC5CCN(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)CC5)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6302,MG-6302,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
TTXMLHTVRQZAKC-QPVSIXTQSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(N4CCC(CN5CCCN(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)CC5)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)c3ccc(N4CCC(CN5CCCN(c6ccc7c(c6)CN(C6CCC(=O)NC6=O)C7=O)CC5)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6303,MG-6303,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
CIZIVTNTSBMJKU-JRMBDLRJSA-N,CC(C)NC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)CC3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)CC3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6293,MG-6293,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 RBM39 ternary complex formation assay,False,,True,False,False,,,,nan,False
RPLHVTBVRVOWAG-MOCYAETESA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(CN4CCC(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(CN4CCC(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6294,MG-6294,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
LCTNJCBUAWJNIM-SUCSDMPVSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)CC3CCN(CC4CCN(C5C=C6CN(C7CCC(=O)NC7=O)C(=O)C6=CC5)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)CC3CCN(CC4CCN(C5C=C6CN(C7CCC(=O)NC7=O)C(=O)C6=CC5)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6295,MG-6295,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
ORHBGOCSEMXKAU-UBOCQRNQSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)CC3CCC(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)CC3CCC(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6296,MG-6296,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
UGUMNJQQOKPBPW-GCOHBOPDSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(CN4CCC(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(CN4CCC(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6297,MG-6297,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
VDWDVHIUXWRDQB-CZWSTGFNSA-N,CC(C)NC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)CC3CCN(C4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)CC3CCN(C4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6290,MG-6290,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,CellTiter-Glo Assay,False,,True,False,False,,,,nan,False
