Patent Number,Application Id,Application Number,Application Date,Country,Application Title,I P C
479,CA393085347,3191164,10.08.2021,CA,"SUBSTITUTED 1,2,4-OXADIAZOLES AS SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28",C07D 413/04; A61K 31/4155; A61K 31/422; A61K 31/4245; A61K 31/4439; A61K 31/444; A61K 31/454; A61K 31/496; A61K 31/5377; A61K 31/538; A61P 35/00; A61P 35/02; C07D 271/06; C07D 401/04; C07D 413/14
480,CA393085346,3191163,10.08.2021,CA,FUSED TRICYCLIC PYRIMIDINE-THIENO-PYRIDINE SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28,A61K 31/4365; A61K 31/519; A61K 31/5377; A61P 35/00; C07D 487/04; C07D 493/04; C07D 495/04; C07D 495/14
481,AU393406678,2021326457,10.08.2021,AU,Fused tricyclic pyrimidine-thieno-pyridine small molecule inhibitors of ubiquitin-specific protease 28,C07D 493/04; A61K 31/4365; A61P 35/00; C07D 487/04; C07D 495/04; C07D 495/14
482,WO2022035806,PCT/US2021/045321,10.08.2021,WO,FUSED TRICYCLIC PYRIMIDINE-THIENO-PYRIDINE SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28,C07D 493/04; C07D 495/04; C07D 495/14; A61P 35/00; A61K 31/4365; C07D 487/04
483,US414435682,18020486,10.08.2021,US,FUSED TRICYCLIC PYRIMIDINE-THIENO-PYRIDINE SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28,C07D 495/14; C07D 495/04; C07D 491/048; C07D 471/04
489,CA395725769,3196278,23.09.2021,CA,"SUBSTITUTED N-(2-(2,6-DIOXOPIPERIDIN-3-YL)-1,3-DIOXOISOINDOLIN-5-YL)ARYLSULFONAMIDE ANALOGS AS MODULATORS OF CEREBLON PROTEIN",C07D 401/04; A61K 31/403; A61K 31/4035; A61P 35/00
490,WO2022066835,PCT/US2021/051648,23.09.2021,WO,"SUBSTITUTED N-(2-(2,6-DIOXOPIPERIDIN-3-YL)-1,3-DIOXOISOINDOLIN-5-YL)ARYLSULFONAMIDE ANALOGS AS MODULATORS OF CEREBLON PROTEIN",C07D 401/04; A61K 31/403; A61K 31/4035; A61P 35/00
491,WO2022073469,PCT/CN2021/122530,07.10.2021,WO,COMPOUNDS AND METHODS OF TREATING CANCERS,C07D 401/14; C07D 401/04; A61K 31/454; A61K 31/535; A61P 35/00
492,US422374359,18248035,07.10.2021,US,COMPOUNDS AND METHODS OF TREATING CANCERS,A61K 31/498; A61K 31/4545; A61K 31/454; A61K 31/5025; A61K 31/497; A61K 45/06; A61P 35/00
509,CA397830190,3194868,15.10.2021,CA,HETEROCYCLIC CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 213/74; C07D 213/75; C07D 277/46; C07D 401/12; C07D 403/12; C07D 405/12; C07D 417/12; C07D 471/04; C07D 513/04
