compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets,source_group,split
OSRHAWKBUZGFNV-ORZDRJFCSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cc6ccc([C@H]7CCOC7)cc6cn5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5cc6ccc(C7CCOC7)cc6cn5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4106,4058,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4058,train
GUJHQQPSKSUCDQ-QSAPEBAKSA-N,COCc1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ncc2c1,COCc1ccc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ncc2c1,defined,mgtbind,4108,4060,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4060,train
XZHBKDKQCBBUOO-BVOOQYFDSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cc6cc(C7CCOCC7)ccc6cn5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5cc6cc(C7CCOCC7)ccc6cn5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4109,4061,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4061,train
IIABVPQULHYKAE-ALLRNTDFSA-N,CC1(c2ccc3cc(CN4CC[C@H](Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)CCOCC1,CC1(c2ccc3cc(CN4CCC(Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)CCOCC1,defined,mgtbind,4110,4062,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4062,train
QGYOMIMUFLGIRH-BXXZMZEQSA-N,CC1(C)COCCN1c1ncc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,CC1(C)COCCN1c1ncc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,defined,mgtbind,4111,4063,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4063,train
KPHXBJTZWVEZRT-XEGCMXMBSA-N,C#Cc1ncc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,C#Cc1ncc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,defined,mgtbind,4112,4064,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4064,train
MOFGKMGICBUPKS-XEGCMXMBSA-N,COc1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)nnc2c1,COc1ccc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)nnc2c1,defined,mgtbind,4113,4065,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4065,train
VKOJYHMKAYIBQY-ZQRQZVKFSA-N,N#Cc1ccc(CN2CC[C@H](Oc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)C2)nc1,N#Cc1ccc(CN2CCC(Oc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)C2)nc1,defined,mgtbind,4114,4066,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4066,train
OJSLEDPEYUFVRJ-ALLRNTDFSA-N,CC1(C)COCCN1c1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,CC1(C)COCCN1c1ccc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,defined,mgtbind,4115,4067,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4067,train
NGQUZFXZDJTFBU-AQYBFWAWSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc([C@H]7CCC[C@@H](O)C7)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(C7CCCC(O)C7)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4116,4068,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4068,train
LBVFJPLJEPXJMC-ZZHFZYNASA-N,COC(C)(C)c1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,COC(C)(C)c1ccc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,defined,mgtbind,4117,4069,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4069,train
